"","compartment","Ntreatment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"setAIT021.Lib.Nod..N","nod","fertilized","SMc00535","SM_b21428","SM_b20776","SM_b21265","SM_b21130","SMa0467","SMa1111","SM_b20458","SMc02243","SMc02606","SMc04462","SMa0197","SMa2245","SMc00265","SMc04251","SMc03201","SMc02118","SM_b21434","SMa0299","SM_b21135","SM_b20420","SMa1727","SMa0695","SMc01043","SMa1898","SMa0064","SMc04112","SM_b21150","SM_b21259","SMc01952","SMc01705","SMc02044","SMa1134","SMa2077","SM_b21095","SM_b20824","SMc02228","SM_b20765","SMc02070","SM_b21376","SM_b21398","SMa1857","SM_b20021","SMc03901","SMc03883","SMa1063","SM_b20376","SMc00768","SMa1247","SMc04128"
"setAIT022.Lib.Nod..N","nod","fertilized","SMa0527","SM_b20063","SMa0429","SMa1176","SMc01280","SMc00580","SMa1201","SMc02646","SMc00378","SMa1700","SMc01833","SMc00012","SMc04216","SMc00419","SMc00815","SMc01988","SMc00274","SMc02683","SMc03138","SMc03876","SMa2257","SMc03961","SMc00976","SMc00024","SMc03978","SMc03763","SMc04233","SMc02075","SMc01850","SMc02231","SMc00966","SM_b21205","SMc02143","SMc02147","SM_b21084","SMc00470","SMc00566","SMa0326","SMc03127","SMa0606","SMc03128","SM_b21100","SMc02309","SM_b20882","SMc03066","SMc00010","SMc01135","SMc00736","SM_b20582","SMc00427"
"setAIT023.Lib.Nod..N","nod","fertilized","SMc00656","SM_b20117","SMc02647","SMc04337","SMc01545","SMa0372","SMc04169","SM_b20519","SM_b21411","SMc02559","SMa1176","SMa1201","SMc04340","SMc01280","SMc00580","SMa5019","SMa1700","SMc04339","SMc01956","SMc00378","SMc01281","SMc02646","SM_b20314","SMc04216","SMc01833","SMa0179","SMc00419","SMc02683","SMc00012","SM_b20592","SMc00815","SM_b21532","SMa2257","SM_b20721","SMa0896","SMc03978","SMc02075","SMc01850","SMc03763","SM_b21084","SM_b21100","SMc00976","SMa0876","SMc02147","SMc00566","SMa0326","SMa0606","SM_b20882","SMc00024","SMc03225"
"setAIT024.Lib.Nod..N","nod","fertilized","SM_b20519","SMc04169","SMc04339","SMc04340","SMc04337","SMa0197","SMa1176","SM_b20647","SMc03790","SMc01280","SMa1201","SMc00580","SMa1943","SM_b21000","SMc02646","SMc00378","SMc01833","SMa1700","SMc00012","SMc00965","SMc02490","SMc04216","SMc01418","SMc00419","SMc02683","SMc00815","SMc00948","SMc00976","SMc00024","SMc03978","SMc02075","SMc03763","SMc04143","SMa2257","SMc04233","SM_b21084","SMc01850","SMc00966","SMa0326","SMc02143","SMa0606","SMc02147","SM_b21100","SMc00566","SMc00470","SM_b20882","SM_b20745","SMc03128","SM_b21089","SMc00427"
"setAIT026.Lib.Nod...","nod","ambient","SMc04337","SMc04340","SMc04169","SMa1176","SMc00943","SMc01280","SMa1397","SMa1201","SMc00580","SMc00378","SMc02646","SMa1700","SMc01833","SMc00012","SM_b20181","SMc00419","SMc04216","SMc00815","SMc00148","SMc02683","SMa0267","SMa1160","SMc00976","SMc03978","SMa2257","SM_b21084","SMc02075","SMc04233","SMc03763","SMc01850","SMc02231","SMc00024","SMa0326","SMc00470","SM_b21100","SMc00966","SMa0606","SMc02143","SMc02147","SMc00566","SM_b20882","SMc03128","SM_b20385","SMc00427","SMc03066","SMc02309","SMa1406","SM_b21115","SMa0990","SMa0093"
"setAIT027.Lib.Nod...","nod","ambient","SM_b21218","SM_b21008","SMa0683","SMc01949","SMa0896","SMa1176","SMc01280","SMc00580","SMc01325","SMa0280","SMc00378","SMc02646","SMa1201","SMc01833","SMc00012","SMc00419","SMc04216","SMa1700","SMc00815","SMc02683","SMc00976","SMc00024","SMc03763","SM_b20419","SMc04233","SMc02075","SMc03978","SMc01850","SMc02231","SMa2257","SM_b21084","SMc02143","SMc02147","SMc00470","SMc00966","SMc00566","SM_b21100","SMc00388","SMc03128","SMc00427","SMa0326","SMc03876","SMc03066","SM_b20882","SMc02309","SMc00010","SMc00914","SMc00736","SM_b21444","SMc01709"
"setAIT028.Lib.Nod...","nod","ambient","SMc01625","SM_b20720","SMc01877","SMc02773","SMc01177","SM_b20376","SMc00983","SMc00260","SM_b21205","SMa1864","SM_b20077","SM_b20650","SMc02253","SMc01228","SMc02490","SMa0579","SMc04011","SM_b20557","SMc04152","SMa1156","SMc01755","SMc02987","SMc04386","SM_b20370","SMc01509","SMc02757","SMa0078","SM_b20027","SMc01095","SM_b21186","SMc00733","SM_b20952","SMa0079","SM_b20582","SM_b20853","SMc00081","SMc04316","SM_b21501","SMc04183","SMc02383","SMa1765","SM_b20931","SMc00641","SM_b20505","SM_b21126","SM_b20149","SMc01541","SMc00406","SMa1046","SMc00361"
"setAIT029.Lib.Nod...","nod","ambient","SMc04345","SM_b20691","SM_b21531","SMc01090","SMc01506","SMc03949","SMa1589","SM_b21597","SMc04340","SM_b20009","SMc00524","SMa1176","SM_b20771","SMc00589","SMc01280","SM_b21277","SM_b20546","SMc00580","SMa1201","SMc02646","SM_b20622","SMc00378","SMc01833","SMa1700","SMc02376","SMa0337","SMc00419","SMc00012","SMc04216","SMc02683","SMc02108","SMc00815","SM_b20396","SM_b21000","SMc00024","SMc00966","SM_b20671","SMc00976","SMc03978","SMc01850","SMc03763","SMc02075","SMa2257","SMc03242","SMc01194","SMc02147","SMc02231","SMc02143","SMc00566","SMc04233"
"setAIT030.Lib.Nod...","nod","ambient","SM_b21669","SMc04882","SMa0776","SMc03180","SMc00421","SMa0082","SMc00691","SMc04336","SMa1176","SM_b21382","SM_b20819","SMc01280","SMa1755","SMa1201","SMc00580","SMc03007","SMa1700","SM_b20952","SMc02646","SMc00378","SMc01833","SMa1394","SMc04340","SM_b21673","SMc04216","SMc00012","SMc01116","SMc00419","SMc00815","SMc02683","SMc02846","SMc00024","SMc00976","SMa2257","SMc03978","SMc02075","SMc04233","SMc03763","SMc01850","SMa0326","SMc02231","SMc00966","SM_b21084","SMa0606","SMc02143","SMc02147","SM_b20071","SMc00470","SMc00566","SM_b21100"
"setAIT031.Lib.Bact..N","bact","fertilized","SM_b21511","SM_b20374","SMc03824","SMa1176","SMa1201","SMc01280","SMc00580","SMa1700","SMc04437","SMc02646","SMc00378","SMa1959","SM_b20353","SMc01833","SMc00012","SMc04216","SMa0683","SMc00419","SMc02683","SMc00815","SMa2257","SMc00024","SMc00976","SMc03978","SMc02075","SMc03763","SMc01850","SM_b20349","SMc00566","SMa0606","SM_b21084","SMc02147","SMc04233","SMc00966","SMa0326","SMc04345","SM_b21100","SM_b21598","SMc02143","SMc04169","SMc02231","SM_b20882","SMa2355","SMc00470","SMc03128","SMc00427","SMc02309","SMc00010","SMa1406","SMc03876"
"setAIT032.Lib.Bact..N","bact","fertilized","SMa0527","SMa0429","SM_b20063","SMa1176","SMc01280","SMc00580","SMa1201","SMc02646","SMc01833","SMc00378","SMa1700","SMc00012","SMc04216","SMc00419","SMc02683","SMc01988","SMc01135","SMc00815","SMc00976","SMc00024","SMc03978","SMa2257","SMc02075","SMc03763","SMc04233","SM_b21084","SMc01850","SMc03961","SMc02231","SMc03138","SMc02143","SMc00966","SMc02147","SM_b21100","SMa0606","SMc01670","SMc00274","SMc00470","SMa0326","SMc00566","SM_b20882","SM_b21205","SMc03128","SM_b20385","SM_b20582","SMc04345","SMc03066","SMc00427","SMc02309","SMc00010"
"setAIT033.Lib.Bact..N","bact","fertilized","SMc00656","SMc02647","SM_b20117","SMc04337","SM_b20128","SMa0372","SMc01545","SM_b21411","SMc01917","SM_b20314","SMa1176","SMc02559","SMa0896","SMc04339","SMc01280","SMa1201","SMc00580","SMa5019","SMc00378","SMa0876","SMc01956","SMc01833","SMc02646","SM_b20592","SMa1700","SMc04169","SMc04216","SMc00419","SMc04262","SMc00012","SMc04340","SM_b20768","SMc01281","SMc02683","SM_b21532","SMc00815","SMc03763","SMc02075","SMc00976","SMa2257","SMc03978","SMc00024","SM_b21084","SMc01850","SMc03225","SMc02147","SMc02231","SMc02143","SMc04233","SM_b20721"
"setAIT035.Lib.Bact..N","bact","fertilized","SMc00372","SM_b21577","SMc00377","SMa5027","SMa1176","SM_b21589","SM_b21300","SMa0917","SMa1201","SM_b21428","SMc01280","SMc01354","SMc00580","SMa1700","SMc01782","SM_b20770","SMc00378","SMc02646","SMc01833","SMc02338","SMc04336","SMc04216","SMc02683","SMc00419","SMc00012","SMc00815","SMc00975","SMa2257","SMc02075","SMa0326","SM_b21084","SMa0606","SM_b21100","SMc00024","SMc02871","SMc01850","SMc03978","SM_b20387","SMc00976","SMc02147","SM_b20882","SMc03763","SMa0082","SMc00566","SMa0093","SMc04340","SM_b21246","SM_b21087","SMc00743","SMc02143"
"setAIT037.Lib.Bact...","bact","ambient","SM_b21149","SMa1057","SM_b20518","SMa2267","SM_b20806","SM_b20194","SM_b20469","SMc01992","SMc04135","SMc04325","SM_b20020","SMc03141","SMa1403","SMa1292","SMc00336","SMc00349","SMc01043","SM_b21143","SMc02846","SMc02176","SMa1036","SMc01028","SMc04331","SMc03796","SMa0951","SMc02390","SMc00244","SM_b20647","SM_b20685","SMa0887","SMc01518","SMc01560","SM_b20553","SM_b21438","SMa0121","SMc03201","SMc01701","SMc01260","SMc04138","SMc00337","SMa0137","SM_b20073","SMa1864","SMc02769","SMc00013","SMc00775","SMa0576","SMa0168","SMc05009","SM_b20372"
"setAIT039.Lib.Bact...","bact","ambient","SMa0750","SM_b21472","SMc01523","SMc00127","SMa0148","SM_b20994","SMc02685","SM_b21034","SMc01810","SMc02360","SMc02787","SMc02413","SMc00818","SMc01641","SM_b20225","SMa0355","SMc00882","SM_b21467","SMa0759","SM_b20662","SMa1483","SMc00494","SMc02173","SMc03027","SMc01204","SMc03877","SMc02419","SM_b21314","SMc01830","SMa0909","SM_b20503","SM_b21362","SM_b21448","SMc02470","SMa2371","SMc00045","SMa2065","SMc00516","SM_b20749","SMc00425","SMc02770","SMa0738","SMc00133","SMc01125","SMc02595","SMc01834","SMc03880","SMa2073","SM_b21155","SMa0146"
"setAIT040.Lib.Bact...","bact","ambient","SM_b21669","SMa0082","SMc04882","SMc03180","SMa0776","SMc04336","SMc00691","SMc00421","SM_b20819","SMa1176","SMc01280","SMa0728","SM_b21673","SMc00580","SMc00001","SMa1201","SMc04340","SMc00378","SMc02646","SMc01833","SMc03007","SM_b20952","SMa1755","SMc03866","SMa1700","SMc00012","SM_b21382","SMc04216","SMc00419","SMa1394","SMc02683","SMc00815","SM_b21686","SM_b21180","SMc00024","SMc00976","SMc01116","SMc02075","SMc02112","SMc04233","SMc03763","SMc03978","SMc02231","SMc01850","SMc02143","SMc02147","SMa2257","SM_b20454","SMc00470","SM_b21084"
"setAIT041.Time0","start","time0","SM_b21076","SM_b20282","SMc00664","SMc02312","SMc04436","SMa1315","SMc00276","SMc02355","SMc00809","SM_b21549","SMc00886","SMa0353","SM_b20984","SM_b20006","SMa1058","SM_b20614","SM_b21533","SMc00672","SMc00522","SMc00350","SMc00297","SMc00974","SMc04229","SMa1811","SM_b21046","SMc00900","SM_b20281","SMa1478","SMc03272","SMa2059","SM_b20451","SM_b20278","SMc00673","SMa1846","SM_b21380","SMc02988","SMc00829","SMc04146","SMc00188","SMc04274","SMa0872","SMc03116","SMa1231","SM_b21558","SMa1533","SMc00026","SMc02562","SMa0791","SMa0235","SM_b20528"
"setAIT042.Time0","start","time0","SMc03252","SMc02344","SMa0326","SMc00279","SMa0967","SM_b20685","SMc03249","SMc04170","SM_b20883","SM_b20241","SMc01008","SMa1209","SM_b20333","SMc03765","SMa0218","SM_b20071","SMc04205","SMc04287","SMc01807","SMa2157","SMa2285","SMa2289","SMc01949","SMa0333","SMc01610","SMa0815","SM_b21554","SMc04210","SM_b20347","SMa0499","SM_b20756","SMa1355","SMc02165","SMc02153","SMa2165","SMc02677","SMc01819","SMa0620","SMa0723","SMa5020","SMa0498","SMc02229","SMc00740","SMc03277","SMa0210","SM_b21225","SMa1720","SMc02610","SMa1053","SMc02142"
"setAIT043.Time0","start","time0","SMc00143","SMc02315","SMc01186","SM_b20496","SMa1120","SMc02713","SMa1741","SMc00926","SMc02565","SM_b21421","SMc03880","SM_b20401","SMc04187","SMc01429","SMc00498","SMc00857","SM_b21227","SMc03026","SMa0643","SMa2414","SM_b21503","SM_b20808","SMc03289","SM_b20269","SM_b20158","SMc00602","SMc01160","SM_b20011","SMc00043","SM_b21456","SMa0486","SM_b21238","SMc04023","SMc00911","SMc02361","SMa2159","SMc01623","SMa1987","SM_b20388","SMc02141","SM_b21663","SM_b20296","SMc02824","SMc01013","SM_b20248","SMa0417","SMc02691","SM_b20609","SMc00771","SMc01932"
"setAIT044.Time0","start","time0","SMc03069","SMc01656","SM_b20648","SMc00141","SMc00246","SMc01882","SMc01949","SM_b20215","SM_b20756","SMa2199","SMc03044","SMc02061","SMa0079","SMc03145","SMc02175","SMc01643","SMc01794","SMc04114","SMc04299","SM_b21024","SM_b20339","SMa0874","SM_b20146","SMc01356","SMc00229","SMa2165","SM_b20888","SMc01976","SMc00983","SM_b20631","SMc00186","SMc04308","SMc04055","SM_b20895","SMc01236","SM_b20483","SMa0520","SM_b21095","SMa1253","SM_b20496","SMc01669","SMa1163","SM_b20329","SM_b21206","SMc00025","SMc03871","SM_b21314","SMa0081","SMc01440","SMc00028"
"setAIT045.Time0","start","time0","SMc01792","SMc04152","SMc02609","SM_b21691","SMc03251","SM_b20518","SMc01754","SMa2037","SMc02650","SM_b21044","SM_b21597","SMc01054","SM_b21064","SMc03249","SM_b21569","SM_b20812","SMc01513","SMc02879","SM_b20404","SM_b21678","SMc02814","SMc01637","SM_b20960","SMa1016","SMc04087","SMa0819","SMa1236","SMc00384","SMa2297","SM_b20474","SMc00352","SMc01374","SMa0513","SMa2406","SMc02596","SMc00174","SMa1113","SMc01051","SMc04053","SMc01440","SMc00794","SM_b21261","SM_b20965","SMa1875","SMa1675","SM_b21164","SMc00806","SMc03959","SM_b21139","SMa0360"
